osmid,y,x,highway,street_count,junction,geometry
391852246,13.0050824,80.204012,,3,,POINT (80.204012 13.0050824)
391852248,13.0045314,80.2067689,,3,,POINT (80.2067689 13.0045314)
391852249,13.0045425,80.2059758,,3,,POINT (80.2059758 13.0045425)
391852257,13.0062957,80.2087199,,1,,POINT (80.2087199 13.0062957)
392576017,13.0608416,80.1684694,,3,,POINT (80.1684694 13.0608416)
392576019,13.0610609,80.1707094,,3,,POINT (80.1707094 13.0610609)
392576020,13.0604,80.1706182,,1,,POINT (80.1706182 13.0604)
392576023,13.0555968,80.1705525,,4,,POINT (80.1705525 13.0555968)
392576025,13.0559362,80.1705598,,3,,POINT (80.1705598 13.0559362)
392576026,13.05595,80.1693892,,3,,POINT (80.1693892 13.05595)
392576027,13.0557009,80.16935,,3,,POINT (80.16935 13.0557009)
392576028,13.0575598,80.1698163,,4,,POINT (80.1698163 13.0575598)
392576030,13.0565588,80.1702246,,1,,POINT (80.1702246 13.0565588)
392576031,13.0564466,80.1694808,,3,,POINT (80.1694808 13.0564466)
392576033,13.0567859,80.1702811,,1,,POINT (80.1702811 13.0567859)
392576036,13.0567988,80.1696219,,3,,POINT (80.1696219 13.0567988)
392576037,13.0562169,80.1694172,,3,,POINT (80.1694172 13.0562169)
392576039,13.0561963,80.1705947,,3,,POINT (80.1705947 13.0561963)
392576041,13.0553316,80.1705651,,3,,POINT (80.1705651 13.0553316)
392576044,13.0550311,80.1714408,,3,,POINT (80.1714408 13.0550311)
392576045,13.0549694,80.1735664,,3,,POINT (80.1735664 13.0549694)
392576046,13.0553346,80.1720523,,3,,POINT (80.1720523 13.0553346)
392576048,13.0546619,80.1705956,,3,,POINT (80.1705956 13.0546619)
392576049,13.054636,80.1721035,,1,,POINT (80.1721035 13.054636)
392576050,13.0533442,80.1735187,,3,,POINT (80.1735187 13.0533442)
392576052,13.0522212,80.1708654,,3,,POINT (80.1708654 13.0522212)
392576055,13.0523708,80.1743271,,4,,POINT (80.1743271 13.0523708)
392576056,13.0533849,80.1688072,,1,,POINT (80.1688072 13.0533849)
392576057,13.0534019,80.1707416,,4,,POINT (80.1707416 13.0534019)
392576058,13.0538307,80.1687451,,1,,POINT (80.1687451 13.0538307)
392576059,13.0537822,80.174179,,1,,POINT (80.174179 13.0537822)
392576060,13.053793,80.173522,,4,,POINT (80.173522 13.053793)
392576063,13.0533311,80.1741495,,1,,POINT (80.1741495 13.0533311)
392576064,13.0542023,80.1735435,,1,,POINT (80.1735435 13.0542023)
392576065,13.0542454,80.1706462,,3,,POINT (80.1706462 13.0542454)
392576068,13.0533849,80.1698628,,4,,POINT (80.1698628 13.0533849)
392576070,13.0530013,80.1688259,,1,,POINT (80.1688259 13.0530013)
392576071,13.0529863,80.1707964,,4,,POINT (80.1707964 13.0529863)
392576072,13.0529814,80.169861,,4,,POINT (80.169861 13.0529814)
392576073,13.0525842,80.1687356,,1,,POINT (80.1687356 13.0525842)
392576074,13.0525706,80.1708396,,3,,POINT (80.1708396 13.0525706)
392576075,13.0525784,80.1698527,,4,,POINT (80.1698527 13.0525784)
392576076,13.0521578,80.1685122,,1,,POINT (80.1685122 13.0521578)
392576077,13.0521451,80.1708616,,3,,POINT (80.1708616 13.0521451)
392576078,13.0521623,80.1698618,,4,,POINT (80.1698618 13.0521623)
392576080,13.0522689,80.1682658,,1,,POINT (80.1682658 13.0522689)
392576084,13.0505833,80.1686105,,3,,POINT (80.1686105 13.0505833)
392576085,13.0495385,80.1686051,,3,,POINT (80.1686051 13.0495385)
392576086,13.0495772,80.167084,,3,,POINT (80.167084 13.0495772)
392576087,13.0495331,80.1693106,,1,,POINT (80.1693106 13.0495331)
392576088,13.0500818,80.1685994,,3,,POINT (80.1685994 13.0500818)
392576089,13.0500728,80.169829,,3,,POINT (80.169829 13.0500728)
392576090,13.0501256,80.1709799,,3,,POINT (80.1709799 13.0501256)
392576091,13.0501525,80.1698345,,3,,POINT (80.1698345 13.0501525)
392576092,13.0541586,80.169893,,3,,POINT (80.169893 13.0541586)
392576093,13.054161,80.169471,,1,,POINT (80.169471 13.054161)
392576095,13.0544086,80.1695475,,1,,POINT (80.1695475 13.0544086)
392576096,13.0517573,80.1682778,,3,,POINT (80.1682778 13.0517573)
392576097,13.0517517,80.1708897,,3,,POINT (80.1708897 13.0517517)
392576098,13.0517796,80.1698503,,4,,POINT (80.1698503 13.0517796)
392576099,13.0518852,80.1664832,,3,,POINT (80.1664832 13.0518852)
392576100,13.0518232,80.1682716,,3,,POINT (80.1682716 13.0518232)
392576101,13.0523484,80.1672426,,1,,POINT (80.1672426 13.0523484)
392576102,13.0518645,80.1672517,,3,,POINT (80.1672517 13.0518645)
392576104,13.0514598,80.1664832,,4,,POINT (80.1664832 13.0514598)
392576105,13.0514275,80.1680181,,1,,POINT (80.1680181 13.0514275)
392576106,13.0533875,80.1714349,,3,,POINT (80.1714349 13.0533875)
392576107,13.0546473,80.1714395,,4,,POINT (80.1714395 13.0546473)
392576108,13.0542336,80.171438,,4,,POINT (80.171438 13.0542336)
392576109,13.0538252,80.1714368,,4,,POINT (80.1714368 13.0538252)
392576110,13.0566858,80.1715347,,1,,POINT (80.1715347 13.0566858)
392576111,13.0567668,80.1706436,,3,,POINT (80.1706436 13.0567668)
392576112,13.0564057,80.1706257,,3,,POINT (80.1706257 13.0564057)
392576113,13.056489,80.1715196,,1,,POINT (80.1715196 13.056489)
392576115,13.0569308,80.1706139,,3,,POINT (80.1706139 13.0569308)
392576116,13.0568722,80.1715415,,1,,POINT (80.1715415 13.0568722)
392576117,13.0547257,80.1735935,,1,,POINT (80.1735935 13.0547257)
392576118,13.0547526,80.1724289,,1,,POINT (80.1724289 13.0547526)
392576121,13.0535904,80.1752162,,3,,POINT (80.1752162 13.0535904)
392576122,13.0531034,80.1751453,,1,,POINT (80.1751453 13.0531034)
392576123,13.0535381,80.1758288,,3,,POINT (80.1758288 13.0535381)
392576126,13.0532245,80.1753774,,3,,POINT (80.1753774 13.0532245)
392576127,13.0535752,80.1754142,,3,,POINT (80.1754142 13.0535752)
392576128,13.0522537,80.1794637,,1,,POINT (80.1794637 13.0522537)
392576129,13.0522932,80.1782076,,4,,POINT (80.1782076 13.0522932)
392576130,13.0523148,80.1775691,,3,,POINT (80.1775691 13.0523148)
392576132,13.0513648,80.1705863,,3,,POINT (80.1705863 13.0513648)
392576136,13.0509904,80.1711076,,4,,POINT (80.1711076 13.0509904)
392576137,13.0509715,80.1682859,,3,,POINT (80.1682859 13.0509715)
392576138,13.0509596,80.1698336,,4,,POINT (80.1698336 13.0509596)
392576139,13.0509518,80.1702664,,1,,POINT (80.1702664 13.0509518)
392576140,13.0507429,80.1704127,,1,,POINT (80.1704127 13.0507429)
392576141,13.0505884,80.171038,,4,,POINT (80.171038 13.0505884)
392576144,13.051051,80.172737,,3,,POINT (80.172737 13.051051)
392576146,13.0510215,80.1729645,,3,,POINT (80.1729645 13.0510215)
392576149,13.0501401,80.173058,,1,,POINT (80.173058 13.0501401)
392576150,13.0502108,80.1709794,,3,,POINT (80.1709794 13.0502108)
392576153,13.0493159,80.1736458,,3,,POINT (80.1736458 13.0493159)
392576154,13.0505421,80.170381,,1,,POINT (80.170381 13.0505421)
392576155,13.0505556,80.1698291,,4,,POINT (80.1698291 13.0505556)
392576156,13.0499169,80.1686064,,3,,POINT (80.1686064 13.0499169)
392576157,13.0499331,80.1664791,,3,,POINT (80.1664791 13.0499331)
392576158,13.0499149,80.1677766,,3,,POINT (80.1677766 13.0499149)
392576161,13.0506459,80.1681913,,1,,POINT (80.1681913 13.0506459)
392576162,13.0499051,80.1681784,,3,,POINT (80.1681784 13.0499051)
392576164,13.0508051,80.1664719,,3,,POINT (80.1664719 13.0508051)
392576166,13.0499277,80.1674539,,3,,POINT (80.1674539 13.0499277)
392576168,13.051441,80.1673031,,3,,POINT (80.1673031 13.051441)
392576169,13.0514464,80.1669003,,3,,POINT (80.1669003 13.0514464)
392576171,13.0507749,80.1670326,,1,,POINT (80.1670326 13.0507749)
392576173,13.0525633,80.1633543,,1,,POINT (80.1633543 13.0525633)
392576174,13.0508919,80.1633003,,3,,POINT (80.1633003 13.0508919)
392576176,13.0519403,80.1633475,,4,,POINT (80.1633475 13.0519403)
392576178,13.050857,80.1638711,,4,,POINT (80.1638711 13.050857)
392576179,13.0506476,80.1629425,,3,,POINT (80.1629425 13.0506476)
392576181,13.0505653,80.1636522,,1,,POINT (80.1636522 13.0505653)
392576182,13.0494444,80.1644677,,3,,POINT (80.1644677 13.0494444)
392576183,13.0494444,80.1641446,,3,,POINT (80.1641446 13.0494444)
392576188,13.049062,80.1628467,,3,,POINT (80.1628467 13.049062)
392576189,13.0491156,80.1631625,,3,,POINT (80.1631625 13.0491156)
392576191,13.0492397,80.1634822,,3,,POINT (80.1634822 13.0492397)
392576193,13.0476349,80.1638214,,3,,POINT (80.1638214 13.0476349)
392576195,13.0488304,80.163806,,3,,POINT (80.163806 13.0488304)
392576196,13.0483857,80.1638187,,3,,POINT (80.1638187 13.0483857)
392576200,13.0476295,80.1633206,,3,,POINT (80.1633206 13.0476295)
392576201,13.0476254,80.1630201,,3,,POINT (80.1630201 13.0476254)
392576203,13.0481088,80.1630352,,1,,POINT (80.1630352 13.0481088)
392576204,13.0476295,80.1636006,,3,,POINT (80.1636006 13.0476295)
392576205,13.048195,80.1636006,,1,,POINT (80.1636006 13.048195)
392576207,13.0480657,80.1643654,,3,,POINT (80.1643654 13.0480657)
392576209,13.0488403,80.1641325,,3,,POINT (80.1641325 13.0488403)
392576214,13.0496167,80.1628844,,3,,POINT (80.1628844 13.0496167)
392576215,13.0499291,80.1621843,,1,,POINT (80.1621843 13.0499291)
392576216,13.0498928,80.1629017,,3,,POINT (80.1629017 13.0498928)
392576217,13.0501194,80.1629001,,3,,POINT (80.1629001 13.0501194)
392576218,13.0500743,80.1642498,,4,,POINT (80.1642498 13.0500743)
392576220,13.0500578,80.1650171,,4,,POINT (80.1650171 13.0500578)
392576221,13.0503006,80.1638645,,3,,POINT (80.1638645 13.0503006)
392576223,13.0503206,80.1642534,,3,,POINT (80.1642534 13.0503206)
392576224,13.0497513,80.1642684,,3,,POINT (80.1642684 13.0497513)
392576226,13.0473387,80.1626959,,1,,POINT (80.1626959 13.0473387)
392576227,13.0473091,80.1634652,,3,,POINT (80.1634652 13.0473091)
392576229,13.0472956,80.1643007,,3,,POINT (80.1643007 13.0472956)
392576231,13.0470773,80.1654552,,1,,POINT (80.1654552 13.0470773)
392576232,13.0467474,80.1674435,,4,,POINT (80.1674435 13.0467474)
392576233,13.0463409,80.1693347,,1,,POINT (80.1693347 13.0463409)
392576234,13.0455433,80.1688158,,4,,POINT (80.1688158 13.0455433)
392576235,13.0443253,80.1686513,,3,,POINT (80.1686513 13.0443253)
392576236,13.0493232,80.1687639,,1,,POINT (80.1687639 13.0493232)
392576238,13.0487567,80.1715437,,1,,POINT (80.1715437 13.0487567)
392576240,13.0492586,80.1696861,,4,,POINT (80.1696861 13.0492586)
392576241,13.0496983,80.169394,,1,,POINT (80.169394 13.0496983)
392576242,13.0491441,80.1717205,,1,,POINT (80.1717205 13.0491441)
392576243,13.0488487,80.1695866,,4,,POINT (80.1695866 13.0488487)
392576244,13.0483774,80.1714098,,1,,POINT (80.1714098 13.0483774)
392576247,13.0480821,80.1709476,,1,,POINT (80.1709476 13.0480821)
